question,choices,answer,explanation,category,options
"Which type of VLAN is used for network management purposes, such as monitoring devices?",,C,"A Management VLAN is typically used for devices that manage the network, such as switches, routers, and monitoring tools.",vlan,"['A. Voice VLAN', 'B. Data VLAN', 'C. Management VLAN', 'D. Default VLAN']"
What is the purpose of a VLAN tag in a frame?,,B,"A VLAN tag is added to Ethernet frames to indicate which VLAN the frame belongs to, allowing it to be forwarded properly across a trunk link.",vlan,"['A. To mark the priority of the frame', 'B. To identify the VLAN the frame belongs to', 'C. To provide a routing path for the frame', 'D. To encrypt the frame data']"
What is the role of the native VLAN in trunking?,,B,The native VLAN is used for untagged traffic on a trunk link. Frames that are not tagged with a VLAN ID are assumed to belong to the native VLAN.,vlan,"['A. It is used to tag frames on the trunk link', 'B. It is used for untagged traffic on a trunk link', 'C. It is used for voice traffic on a trunk link', 'D. It is used for data traffic on a trunk link']"
What is a common use case for implementing VLANs?,,B,"VLANs are commonly used to create virtual subnets within a network, improving traffic management and segmentation.",vlan,"['A. To reduce the number of physical switches required', 'B. To create virtual subnets within a network for better traffic control', 'C. To assign IP addresses to all devices automatically', 'D. To secure data from external attacks']"
What is the maximum number of VLANs supported by 802.1Q?,,C,"The IEEE 802.1Q standard supports a maximum of 4096 VLANs, with VLAN IDs ranging from 1 to 4095.",vlan,"['A. 256', 'B. 1024', 'C. 4096', 'D. 8192']"
Which of the following is an advantage of using VLANs in a network?,,A,VLANs reduce broadcast traffic by limiting the scope of broadcasts to devices within the same VLAN.,vlan,"['A. Reduces broadcast traffic by limiting the scope of broadcasts', 'B. Increases the complexity of the network', 'C. Prevents unauthorized access to the network', 'D. Eliminates the need for switches']"
What is the role of a VLAN membership in a switch?,,A,"VLAN membership determines which switch ports belong to a specific VLAN, helping to define broadcast domains.",vlan,"['A. To define which switch ports belong to which VLAN', 'B. To manage the IP addresses for devices on the VLAN', 'C. To define which VLANs can communicate with each other', 'D. To assign a switch port as either trunk or access']"
"In a network with multiple VLANs, which device is responsible for inter-VLAN routing?",,B,"A router is responsible for inter-VLAN routing, allowing devices on different VLANs to communicate with each other.",vlan,"['A. Switch', 'B. Router', 'C. Hub', 'D. Firewall']"
Which of the following commands can be used to configure a VLAN on a Cisco switch?,,B,The 'vlan database' command is used on Cisco switches to define and configure VLANs.,vlan,"['A. ip address vlan 10', 'B. vlan database', 'C. switchport vlan', 'D. vlan create 10']"
What is a VLAN trunking protocol (VTP) used for?,,A,"VTP allows network administrators to configure VLANs on one switch, and then automatically propagate the changes to other switches in the network.",vlan,"['A. To automatically configure VLANs on all switches in a network', 'B. To limit the number of VLANs on a switch', 'C. To secure VLAN traffic from unauthorized access', 'D. To assign VLANs to network devices']"
Which VLAN is typically used for Voice over IP (VoIP) devices?,,C,VLAN 30 is commonly used for Voice over IP (VoIP) devices to separate voice traffic from data traffic.,vlan,"['A. VLAN 10', 'B. VLAN 20', 'C. VLAN 30', 'D. VLAN 99']"
What is the purpose of a 802.1Q tag in a trunking VLAN?,,A,The 802.1Q tag is used to identify the VLAN to which a frame belongs when traveling across a trunk link.,vlan,"['A. To identify the VLAN to which a frame belongs', 'B. To encrypt the frame data', 'C. To prioritize the frame for bandwidth', 'D. To modify the source IP address']"
Which VLAN type is used to support a specific service such as voice or video?,,B,A Voice VLAN is used specifically for Voice over IP (VoIP) traffic to provide better quality and prioritize voice services.,vlan,"['A. Data VLAN', 'B. Voice VLAN', 'C. Management VLAN', 'D. Default VLAN']"
Which command is used to display VLAN information on a Cisco switch?,,A,"The 'show vlan brief' command is used on Cisco switches to display information about VLANs, including VLAN IDs and names.",vlan,"['A. show vlan brief', 'B. show ip vlan', 'C. display vlan information', 'D. show interfaces vlan']"
Which VLAN configuration is used to connect two different switches and allow them to communicate multiple VLANs?,,B,A trunk port allows multiple VLANs to be carried between switches by tagging the traffic with VLAN IDs.,vlan,"['A. Access port', 'B. Trunk port', 'C. Bridge port', 'D. Management port']"
What is the default VLAN used by Cisco switches?,,B,"VLAN 1 is the default VLAN on Cisco switches, used for management and control purposes.",vlan,"['A. VLAN 10', 'B. VLAN 1', 'C. VLAN 99', 'D. VLAN 100']"
Which of the following is an example of a Layer 3 device used for VLAN routing?,,A,"A router is a Layer 3 device used for routing between different VLANs, enabling inter-VLAN communication.",vlan,"['A. Router', 'B. Hub', 'C. Switch', 'D. Bridge']"
What type of VLAN is used to manage the network infrastructure devices?,,B,A Management VLAN is used for managing network infrastructure devices like switches and routers.,vlan,"['A. Data VLAN', 'B. Management VLAN', 'C. Native VLAN', 'D. Voice VLAN']"
Which of the following is the primary advantage of using VLANs in large networks?,,B,"VLANs reduce broadcast domains, helping to optimize network performance and manage traffic more effectively.",vlan,"['A. Simplifies network configuration', 'B. Reduces broadcast domains', 'C. Increases the speed of network connections', 'D. Eliminates the need for routers']"
Which of the following devices can be used to connect multiple VLANs?,,B,A router or Layer 3 switch is required to connect multiple VLANs and route traffic between them.,vlan,"['A. Switch', 'B. Router', 'C. Hub', 'D. Repeater']"
Which VLAN ID range is reserved for private use?,,B,VLAN IDs in the range 1006–4095 are reserved for private use and not typically assigned to default VLANs.,vlan,"['A. 1–1005', 'B. 1006–4095', 'C. 4096–8192', 'D. 2000–3000']"
What is the role of the native VLAN in a trunking link?,,C,"The native VLAN on a trunk link handles untagged frames, which are frames that are not tagged with a VLAN ID.",vlan,"['A. To ensure encryption of all trunked traffic', 'B. To assign a priority to trunked frames', 'C. To handle untagged frames on a trunk link', 'D. To carry voice traffic']"
How can you prevent VLAN hopping attacks?,,A,"Disabling unused ports on switches is one method to prevent VLAN hopping attacks, as it reduces opportunities for unauthorized devices to access the network.",vlan,"['A. By disabling unused ports on switches', 'B. By using static IP addressing', 'C. By enabling DHCP snooping', 'D. By using trunk port isolation']"
In which type of network design are VLANs typically used?,,D,"VLANs are commonly used in hierarchical network topologies, where the network is structured with multiple layers of distribution and access switches.",vlan,"['A. Star topology', 'B. Mesh topology', 'C. Hybrid topology', 'D. Hierarchical topology']"
What is the function of a VLAN Trunking Protocol (VTP) server?,,A,A VTP server manages VLAN configuration and propagates it to other switches in the network to ensure consistent VLAN information.,vlan,"['A. To manage VLAN configuration and propagate it to other switches', 'B. To assign IP addresses to devices in the VLAN', 'C. To encrypt traffic in a VLAN', 'D. To monitor traffic on a VLAN']"
Which type of VLAN is used to separate management traffic from other types of network traffic?,,D,"A Management VLAN is used to isolate management traffic from user data traffic, enhancing security and network management.",vlan,"['A. Voice VLAN', 'B. Data VLAN', 'C. Native VLAN', 'D. Management VLAN']"
Which of the following is true about VLANs?,,B,VLANs reduce the number of broadcast domains by segmenting the network into smaller logical networks.,vlan,"['A. VLANs increase the number of broadcast domains', 'B. VLANs reduce the number of broadcast domains', 'C. VLANs eliminate the need for routing', 'D. VLANs require special routing hardware']"
What is the maximum number of VLANs that can be created on a Cisco switch that supports IEEE 802.1Q?,,C,"IEEE 802.1Q allows for the creation of up to 4096 VLANs, with VLAN IDs ranging from 1 to 4095.",vlan,"['A. 512', 'B. 1024', 'C. 4096', 'D. 8192']"
What is the primary function of the Data Link layer in the OSI model?,,Data encapsulation and error detection,"The Data Link layer is responsible for framing data, providing error detection, and ensuring reliable data transfer over a physical link.",datalink-layer,"['Data routing', 'Data encapsulation and error detection', 'Data encryption', 'Path selection']"
Which protocol operates at the Data Link layer of the OSI model?,,Ethernet,"Ethernet is a protocol that operates at the Data Link layer, managing access to the physical network and addressing data frames.",datalink-layer,"['IP', 'Ethernet', 'HTTP', 'TCP']"
Which of the following is used to uniquely identify a network interface at the Data Link layer?,,MAC address,The MAC address is a unique identifier assigned to each network interface at the Data Link layer to ensure proper communication on the network.,datalink-layer,"['IP address', 'MAC address', 'Subnet mask', 'Port number']"
What type of address is used in Ethernet frames to identify the sender and receiver?,,MAC address,Ethernet frames use the MAC address to identify both the sender and receiver devices on a local network.,datalink-layer,"['IP address', 'MAC address', 'Port address', 'Domain name']"
What is the maximum length of an Ethernet frame?,,1500 bytes,"The maximum size of an Ethernet frame is 1500 bytes, including both the header and payload, but excluding the CRC trailer.",datalink-layer,"['512 bytes', '1500 bytes', '2048 bytes', '10000 bytes']"
Which of the following is a function of the Media Access Control (MAC) sublayer?,,Addressing,"The MAC sublayer is responsible for addressing, providing unique identifiers (MAC addresses) to network interfaces and managing access to the physical medium.",datalink-layer,"['Error correction', 'Addressing', 'Routing', 'Encryption']"
Which of the following devices operates at the Data Link layer?,,Switch,A switch operates at the Data Link layer and is responsible for forwarding frames based on MAC addresses.,datalink-layer,"['Router', 'Switch', 'Hub', 'Gateway']"
What is the purpose of an Ethernet frame's CRC field?,,Error detection,The CRC (Cyclic Redundancy Check) field is used to detect errors in the frame's data during transmission.,datalink-layer,"['Addressing', 'Error detection', 'Error correction', 'Compression']"
Which protocol is used for error detection at the Data Link layer in Ethernet networks?,,Ethernet CRC,"Ethernet uses the CRC (Cyclic Redundancy Check) for error detection at the Data Link layer, ensuring reliable data transmission.",datalink-layer,"['ARP', 'TCP', 'ICMP', 'Ethernet CRC']"
Which layer of the OSI model does Ethernet operate on?,,Data Link,"Ethernet operates at the Data Link layer of the OSI model, responsible for the transfer of data between devices on the same local network.",datalink-layer,"['Network', 'Data Link', 'Transport', 'Physical']"
What is the function of the Logical Link Control (LLC) sublayer?,,Protocol identification,The LLC sublayer is responsible for identifying the higher-layer protocols and ensuring proper data encapsulation and communication.,datalink-layer,"['Data framing', 'Error detection', 'Protocol identification', 'MAC addressing']"
Which of the following is a standard that defines Ethernet networking at the Data Link layer?,,802.3,The IEEE 802.3 standard defines the operation of Ethernet networking at the Data Link layer.,datalink-layer,"['802.11', '802.1X', '802.3', '802.5']"
What is the primary function of a bridge in a network?,,Filtering frames based on MAC addresses,"A bridge operates at the Data Link layer and filters frames based on MAC addresses, segmenting a network and reducing traffic.",datalink-layer,"['Forwarding IP packets', 'Routing data packets', 'Filtering frames based on MAC addresses', 'Encrypting data streams']"
What is the difference between a hub and a switch at the Data Link layer?,,"A switch uses MAC addresses to forward frames, while a hub broadcasts all data","A hub is a simple device that broadcasts all data to all devices, while a switch forwards data based on the MAC address of the destination device.",datalink-layer,"['A switch forwards frames based on IP addresses, while a hub broadcasts all data', 'A switch uses MAC addresses to forward frames, while a hub broadcasts all data', 'A hub operates at Layer 3, while a switch operates at Layer 2', 'There is no difference']"
Which address is used to send data to all devices in an Ethernet network?,,Broadcast,A broadcast address is used to send data to all devices in an Ethernet network.,datalink-layer,"['Unicast', 'Multicast', 'Broadcast', 'Anycast']"
What type of address does an Ethernet frame use to identify the destination device?,,MAC address,Ethernet frames use MAC addresses to identify the destination device on a local network.,datalink-layer,"['IPv4 address', 'MAC address', 'Port address', 'Domain name']"
"In an Ethernet network, what does a switch use to determine where to forward a frame?",,MAC address,A switch uses the destination MAC address of a frame to determine which port to forward the frame to.,datalink-layer,"['IP address', 'MAC address', 'Port number', 'Subnet mask']"
Which of the following can help improve network performance by reducing collision domains?,,Switch,"A switch can reduce collision domains because it forwards frames based on MAC addresses, unlike a hub, which broadcasts data to all ports.",datalink-layer,"['Hub', 'Switch', 'Router', 'Bridge']"
What is the main purpose of the FCS (Frame Check Sequence) in an Ethernet frame?,,Error detection,The FCS field is used to detect errors in the frame during transmission using the CRC method.,datalink-layer,"['Frame synchronization', 'Error detection', 'Encryption', 'Compression']"
What is the main purpose of VLANs in the Data Link layer?,,Segmentation of traffic based on MAC addresses,VLANs segment traffic based on MAC addresses to create separate broadcast domains within the same physical network.,datalink-layer,"['Segmentation of traffic based on IP addresses', 'Segmentation of traffic based on MAC addresses', 'Network address translation', 'Data encryption']"
Which type of Ethernet frame is used to send data to a single destination device?,,Unicast,A unicast frame is used to send data to a single specific destination device identified by its MAC address.,datalink-layer,"['Broadcast', 'Multicast', 'Unicast', 'Anycast']"
Which protocol is responsible for resolving MAC addresses to IP addresses in a network?,,ARP,ARP (Address Resolution Protocol) is used to resolve an IP address to a MAC address in a local network.,datalink-layer,"['ARP', 'RARP', 'DNS', 'DHCP']"
Which of the following is an example of a Layer 2 device?,,Switch,"A switch is a Layer 2 device, which operates at the Data Link layer and forwards frames based on MAC addresses.",datalink-layer,"['Router', 'Switch', 'Firewall', 'Modem']"
Which of the following is responsible for providing error correction at the Data Link layer?,,PPP,PPP (Point-to-Point Protocol) provides error correction and error detection at the Data Link layer.,datalink-layer,"['TCP', 'ARP', 'Ethernet', 'PPP']"
Which of the following devices can be used to connect different LAN segments while filtering traffic based on MAC addresses?,,Bridge,A bridge is used to filter traffic based on MAC addresses and connect different LAN segments.,datalink-layer,"['Hub', 'Router', 'Switch', 'Bridge']"
Which of the following is the purpose of a MAC address?,,Identify a device across a network,A MAC address is a unique identifier assigned to a network interface card (NIC) to identify a device at the Data Link layer.,datalink-layer,"['Identify a device across a network', 'Define the port number', 'Identify the protocol', 'Define the network segment']"
Which of the following Ethernet standards supports Gigabit Ethernet?,,802.3ab,"The 802.3ab standard supports Gigabit Ethernet, typically operating at speeds of 1000 Mbps.",datalink-layer,"['802.3i', '802.3u', '802.3ab', '802.3z']"
What is the purpose of the Preamble in an Ethernet frame?,,Data synchronization,"The Preamble is used to synchronize the transmission of data, ensuring that the sender and receiver are aligned on the bit rate.",datalink-layer,"['Data synchronization', 'Error detection', 'Data addressing', 'Error correction']"
Which Ethernet frame type is used to send data from one device to all devices on the network?,,Broadcast,"A broadcast Ethernet frame sends data to all devices on the network, using the MAC address FF:FF:FF:FF:FF:FF.",datalink-layer,"['Unicast', 'Multicast', 'Broadcast', 'Anycast']"
What is the purpose of a VLAN?,,To segment a physical network into multiple logical networks,"A VLAN segments a physical network into multiple logical networks, providing separation for traffic and improved security.",datalink-layer,"['To route traffic based on IP addresses', 'To segment a physical network into multiple logical networks', 'To encrypt data', 'To combine multiple networks into a single broadcast domain']"
Which of the following is a key characteristic of the MAC address?,,It is globally unique,A MAC address is globally unique and is assigned to each network interface card (NIC) by the manufacturer.,datalink-layer,"['It is a Layer 3 address', 'It is globally unique', 'It is used for routing', 'It is dynamic and changes periodically']"
What is the size of the MAC address in an Ethernet frame?,,48 bits,"A MAC address is 48 bits long, typically represented as 12 hexadecimal characters.",datalink-layer,"['16 bits', '32 bits', '48 bits', '64 bits']"
Which of the following protocols is responsible for encapsulating network layer data into frames?,,Ethernet,Ethernet is responsible for encapsulating network layer data into frames at the Data Link layer.,datalink-layer,"['Ethernet', 'IP', 'ARP', 'DNS']"
What is the primary purpose of the Frame Check Sequence (FCS) in an Ethernet frame?,,To provide error detection,The FCS field in the Ethernet frame uses CRC (Cyclic Redundancy Check) to detect errors in the data during transmission.,datalink-layer,"['To provide data addressing', 'To provide error detection', 'To manage the flow of data', 'To segment the data']"
What is the purpose of the Start Frame Delimiter (SFD) in an Ethernet frame?,,To indicate the beginning of the data field,The SFD marks the beginning of the data field and follows the Preamble in an Ethernet frame.,datalink-layer,"['To indicate the beginning of the data field', 'To define the end of the frame', 'To synchronize the data transmission', 'To identify the destination address']"
What type of address is used to identify a group of devices in an Ethernet network?,,Multicast address,A multicast address is used to send data to a specific group of devices in an Ethernet network.,datalink-layer,"['MAC address', 'IP address', 'Multicast address', 'Broadcast address']"
What is a collision domain?,,A network segment in which devices share the same bandwidth,"A collision domain is a segment of a network where devices compete for the same bandwidth, leading to collisions if two devices transmit simultaneously.",datalink-layer,"['A group of devices that can communicate without interference', 'A network segment in which devices share the same bandwidth', 'A network that is isolated from others', 'A physical cable connection between two devices']"
What is a key difference between a hub and a switch?,,"A switch operates at Layer 2, while a hub operates at Layer 1","A hub operates at Layer 1 (Physical layer) and sends data to all devices, whereas a switch operates at Layer 2 (Data Link layer) and forwards data based on MAC addresses.",datalink-layer,"['A switch operates at Layer 2, while a hub operates at Layer 1', 'A switch forwards frames, while a hub sends all data to all devices', 'A hub uses IP addresses, while a switch uses MAC addresses', 'There is no difference between a hub and a switch']"
What does the term 'duplex mode' refer to in networking?,,The ability to send and receive data,"Duplex mode refers to the ability of a network device to send and receive data. Full-duplex allows both at the same time, while half-duplex allows one at a time.",datalink-layer,"['The number of devices on the network', 'The ability to send and receive data', 'The size of the data packet', 'The type of MAC address used']"
What is the key function of the Data Link layer in Ethernet networking?,,Error detection and correction,The Data Link layer in Ethernet networks provides error detection and correction to ensure reliable communication between devices on the same network.,datalink-layer,"['Error detection and correction', 'Routing data', 'Fragmenting data', 'Securing data']"
What type of Ethernet frame is used to send data from one device to multiple devices?,,Multicast,"Multicast frames are used to send data to multiple specific devices in a network, identified by a special MAC address.",datalink-layer,"['Broadcast', 'Multicast', 'Unicast', 'Anycast']"
Which of the following devices can reduce the size of collision domains?,,Switch,"A switch reduces the size of collision domains by forwarding data based on MAC addresses, allowing for more efficient use of the network.",datalink-layer,"['Hub', 'Switch', 'Router', 'Bridge']"
Which of the following best describes the role of a router in relation to the Data Link layer?,,It forwards data based on IP addresses,"A router operates at Layer 3 (Network layer) and forwards packets based on IP addresses, not MAC addresses.",datalink-layer,"['It forwards data based on IP addresses', 'It forwards data based on MAC addresses', 'It filters traffic based on IP addresses', 'It operates at Layer 1']"
What is the term used to describe the process of assigning MAC addresses to network devices?,,Media Access Control,"The process of assigning and managing MAC addresses is referred to as Media Access Control (MAC), which ensures that each network device has a unique identifier.",datalink-layer,"['Address Resolution Protocol', 'Media Access Control', 'Network Address Translation', 'Dynamic Host Configuration Protocol']"
Which of the following is an Ethernet standard that supports 10 Gigabit Ethernet?,,802.3ae,"The 802.3ae standard supports 10 Gigabit Ethernet, operating at speeds of up to 10 Gbps.",datalink-layer,"['802.3u', '802.3z', '802.3ae', '802.3ab']"
Which of the following terms is used to describe the mechanism that determines which device can transmit on a shared medium in Ethernet networking?,,Carrier Sense Multiple Access with Collision Detection (CSMA/CD),CSMA/CD is the mechanism used in Ethernet networking to control access to the shared communication medium and detect collisions when they occur.,datalink-layer,"['Carrier Sense Multiple Access with Collision Detection (CSMA/CD)', 'Ethernet Frame Forwarding', 'Data Link Error Correction', 'Media Access Control (MAC) address filtering']"
Which of the following best describes the primary function of the Data Link layer?,,Providing error detection and correction for data frames,"The primary function of the Data Link layer is to provide error detection and correction for data frames, ensuring reliable communication on the network.",datalink-layer,"['Routing data across networks', 'Providing error detection and correction for data frames', 'Providing encryption for data transmission', 'Managing the flow control of data packets']"
What is the primary function of the Data Link layer?,,To provide reliable data transfer across a physical link,"The Data Link layer is responsible for the reliable transfer of data over a physical network link by ensuring error detection and correction, as well as controlling access to the physical medium.",datalink-layer,"['To route data packets across networks', 'To establish, maintain, and terminate connections', 'To provide reliable data transfer across a physical link', 'To encrypt and compress data']"
Which of the following devices operates at the Data Link layer?,,Switch,A switch operates at the Data Link layer (Layer 2) and is responsible for forwarding data frames based on MAC addresses.,datalink-layer,"['Router', 'Switch', 'Hub', 'Firewall']"
What type of address is used by the Data Link layer?,,MAC address,The Data Link layer uses MAC (Media Access Control) addresses to uniquely identify devices on a local network segment.,datalink-layer,"['IP address', 'MAC address', 'Port number', 'Domain name']"
Which of the following is a type of error detection used at the Data Link layer?,,CRC (Cyclic Redundancy Check),The CRC is a common error-detection technique used in the Data Link layer to ensure the integrity of data frames.,datalink-layer,"['CRC (Cyclic Redundancy Check)', 'IP checksum', 'Parity bit', 'UDP checksum']"
Which of the following protocols operates at the Data Link layer?,,ARP,"ARP (Address Resolution Protocol) operates at the Data Link layer, mapping network layer addresses (IP addresses) to Data Link layer addresses (MAC addresses).",datalink-layer,"['TCP', 'ARP', 'ICMP', 'IP']"
Which of the following standards is responsible for defining the Ethernet frame format?,,IEEE 802.3,"IEEE 802.3 defines the Ethernet frame format, which is used for wired networking at the Data Link layer.",datalink-layer,"['IEEE 802.3', 'IEEE 802.11', 'IEEE 802.5', 'IEEE 802.15']"
"In Ethernet, what is the size of a MAC address?",,48 bits,"A MAC address is 48 bits long, typically represented in hexadecimal notation.",datalink-layer,"['48 bits', '32 bits', '64 bits', '128 bits']"
What is the function of a bridge in a network?,,To filter traffic and reduce collisions at Layer 2,A bridge operates at the Data Link layer and filters traffic to reduce collisions and segment a network.,datalink-layer,"['To connect different networks at Layer 3', 'To filter traffic and reduce collisions at Layer 2', 'To amplify signals over long distances', 'To provide security and firewall protection']"
